City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Muros,ES,61.29,clear sky,42.7762,-9.0603,Apartment Av. Castelao
110,Te Anau,NZ,40.91,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
111,Batasan,PH,83.03,broken clouds,12.7667,120.7833,Solwara Beach Resort
112,Port Blair,IN,81.16,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
113,Mkushi,ZM,58.3,broken clouds,-13.6202,29.3939,Mkushi Police Club
114,Sitka,US,57.61,light rain,57.0531,-135.33,Westmark Sitka
115,Bonavista,CA,64.67,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
116,Umm Lajj,SA,84.16,scattered clouds,25.0213,37.2685,Moon light Furnished Units
117,Faanui,PF,77.76,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Richards Bay,ZA,55.27,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
121,Constitucion,CL,53.46,moderate rain,-35.3333,-72.4167,Hotel Boutique Las Azucenas
122,Longyearbyen,SJ,44.71,light rain,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
