City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,San Ramon,US,37.7799,-121.978,87.58,52,0,16.11,clear sky
81,Port Lincoln,AU,-34.7333,135.8667,56.57,61,22,12.35,few clouds
82,Panama City,PA,8.9936,-79.5197,79.29,90,75,4.61,broken clouds
83,Qaqortoq,GL,60.7167,-46.0333,43.3,97,100,3.76,light rain
84,Norman Wells,CA,65.282,-126.8329,78.84,29,20,12.66,few clouds
85,Santiago,CL,-33.4569,-70.6483,53.85,74,75,8.05,broken clouds
86,Gouyave,GD,12.1646,-61.7296,81.37,83,20,8.05,few clouds
87,Bereda,ES,43.2686,-7.5406,59.58,100,22,3.51,few clouds
88,Inirida,CO,3.8653,-67.9239,73.69,95,88,1.12,overcast clouds
89,Am Timan,TD,11.0297,20.2827,71.67,96,98,4.56,heavy intensity rain
90,Provideniya,RU,64.3833,-173.3,50.11,62,100,20.13,overcast clouds
91,Dunedin,NZ,-45.8742,170.5036,45.5,93,100,20.78,overcast clouds
92,Kipushi,CD,-11.7667,27.2333,55.4,63,2,4.12,clear sky
93,Narsaq,GL,60.9167,-46.05,45.09,92,100,3.76,overcast clouds
94,Chokurdakh,RU,70.6333,147.9167,59.81,39,83,14.58,broken clouds
95,Paamiut,GL,61.994,-49.6678,43.99,93,93,4.88,overcast clouds
96,Bubaque,GW,11.2833,-15.8333,78.22,82,98,8.03,light rain
97,East London,ZA,-33.0153,27.9116,55.44,70,0,12.08,clear sky
98,Florida Ridge,US,27.5803,-80.3867,85.98,74,59,3.0,broken clouds
99,Rongcheng,CN,30.634,117.8517,84.74,80,58,4.03,broken clouds
100,Kenai,US,60.5544,-151.2583,64.02,76,75,9.22,broken clouds
101,Cap Malheureux,MU,-19.9842,57.6142,66.47,79,7,3.0,clear sky
102,Udachnyy,RU,66.4167,112.4,71.46,77,59,6.4,broken clouds
103,Thompson,CA,55.7435,-97.8558,62.76,88,75,5.75,broken clouds
104,Shelburne,CA,44.0787,-80.2041,66.65,54,17,10.31,few clouds
105,Igarka,RU,67.4667,86.5833,54.68,80,40,5.44,scattered clouds
106,Pevek,RU,69.7008,170.3133,37.96,75,89,12.88,overcast clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,0,13.8,clear sky
108,Baykit,RU,61.67,96.37,65.07,71,100,2.37,overcast clouds
109,Muros,ES,42.7762,-9.0603,61.29,89,2,8.1,clear sky
110,Te Anau,NZ,-45.4167,167.7167,40.91,98,100,2.26,overcast clouds
111,Batasan,PH,12.7667,120.7833,83.03,75,82,2.42,broken clouds
112,Port Blair,IN,11.6667,92.75,81.16,81,96,8.05,overcast clouds
113,Mkushi,ZM,-13.6202,29.3939,58.3,54,55,9.46,broken clouds
114,Sitka,US,57.0531,-135.33,57.61,98,100,2.71,light rain
115,Bonavista,CA,48.6499,-53.1147,64.67,94,100,17.0,overcast clouds
116,Umm Lajj,SA,25.0213,37.2685,84.16,68,37,6.02,scattered clouds
117,Faanui,PF,-16.4833,-151.75,77.76,76,44,10.65,moderate rain
118,Richards Bay,ZA,-28.783,32.0377,55.27,78,42,5.46,scattered clouds
119,Aitape,PG,-3.1374,142.3475,83.32,74,40,7.0,scattered clouds
120,Ostrovnoy,RU,68.0531,39.5131,51.35,80,31,10.13,scattered clouds
121,Constitucion,CL,-35.3333,-72.4167,53.46,91,100,21.54,moderate rain
122,Longyearbyen,SJ,78.2186,15.6401,44.71,95,100,1.63,light rain
123,Bud,US,39.447,-86.1758,77.02,77,100,3.29,overcast clouds
124,Bulawayo,ZW,-20.15,28.5833,49.39,94,19,10.13,few clouds
125,Saint-Paul,RE,-21.0096,55.2707,69.37,74,12,4.92,few clouds
126,Hamilton,US,39.1834,-84.5333,79.09,74,100,1.01,overcast clouds
127,Kalianget,ID,-7.05,113.9333,77.79,72,32,4.85,scattered clouds
128,Turukhansk,RU,65.8167,87.9833,57.24,85,95,4.38,overcast clouds
129,Sapele,NG,5.8941,5.6767,73.9,96,100,2.55,overcast clouds
130,Clifton,US,40.8584,-74.1638,87.24,66,75,12.66,broken clouds
131,Souillac,MU,-20.5167,57.5167,68.38,88,40,10.36,scattered clouds
132,Puerto Del Rosario,ES,28.5004,-13.8627,80.35,61,0,16.11,clear sky
133,Tatarsk,RU,55.219,75.9828,60.93,85,8,6.71,clear sky
134,Shenjiamen,CN,29.9576,122.298,80.46,82,79,14.03,broken clouds
135,Tokur,RU,53.1333,132.9,59.05,89,99,2.75,overcast clouds
136,Bengkulu,ID,-3.8004,102.2655,72.97,84,100,2.98,overcast clouds
137,Takoradi,GH,4.8845,-1.7554,74.17,88,82,8.21,broken clouds
138,Georgetown,MY,5.4112,100.3354,77.95,94,20,3.44,few clouds
139,Les Escoumins,CA,48.1111,-69.0236,56.55,68,19,17.22,few clouds
140,San Patricio,US,28.017,-97.5169,93.92,54,7,17.96,clear sky
141,Fortuna,US,40.5982,-124.1573,74.93,66,42,1.99,scattered clouds
142,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,93,43,3.31,scattered clouds
143,Dodge City,US,37.7528,-100.0171,96.24,34,81,2.44,broken clouds
144,Hambantota,LK,6.1241,81.1185,78.17,85,100,11.07,overcast clouds
145,Saint-Augustin,CA,51.226,-58.6502,58.87,99,100,0.81,overcast clouds
146,Teknaf,BD,20.8624,92.3058,78.66,87,43,3.6,scattered clouds
147,Kralendijk,BQ,12.15,-68.2667,80.73,81,36,21.21,scattered clouds
148,Yeppoon,AU,-23.1333,150.7333,60.58,74,0,1.07,clear sky
149,Codrington,AU,-38.2667,141.9667,51.96,61,92,22.41,overcast clouds
